column,inferred_dtype
eid,Int64
19-0.0,Int64
21-0.0,Int64
21-1.0,Int64
21-2.0,Int64
23-0.0,Int64
23-1.0,Int64
23-2.0,Int64
31-0.0,Int64
34-0.0,Int64
35-0.0,Int64
35-1.0,Int64
35-2.0,Int64
36-0.0,Int64
36-1.0,Int64
36-2.0,Int64
37-0.0,Int64
37-1.0,Int64
37-2.0,Int64
38-0.0,Int64
38-1.0,Int64
38-2.0,Int64
39-0.0,string
39-1.0,Int64
39-2.0,Int64
40-0.0,Int64
40-1.0,Int64
40-2.0,Int64
41-0.0,Int64
41-1.0,Int64
41-2.0,Int64
42-0.0,Int64
42-1.0,Int64
42-2.0,Int64
43-0.0,Int64
43-1.0,Int64
43-2.0,Int64
44-0.0,Int64
44-1.0,Int64
44-2.0,Int64
45-0.0,Int64
45-1.0,Int64
45-2.0,Int64
46-0.0,Int64
46-1.0,Int64
46-2.0,Int64
47-0.0,Int64
47-1.0,Int64
47-2.0,Int64
48-0.0,Float64
48-1.0,Float64
48-2.0,Int64
49-0.0,Float64
49-1.0,Float64
49-2.0,Float64
50-0.0,Float64
50-1.0,Float64
50-2.0,Float64
51-0.0,Float64
51-1.0,Float64
51-2.0,Float64
52-0.0,Int64
53-0.0,string
53-1.0,string
53-2.0,string
54-0.0,Int64
54-1.0,Int64
54-2.0,Int64
55-0.0,Int64
55-1.0,Int64
55-2.0,Int64
68-0.0,Int64
68-1.0,Int64
68-2.0,Int64
74-0.0,Int64
74-1.0,Int64
74-2.0,Int64
77-0.0,Float64
78-0.0,Float64
84-0.0,Int64
84-0.1,Int64
84-0.2,Int64
84-0.3,Int64
84-0.4,Int64
84-0.5,Int64
84-1.0,Int64
84-1.1,Int64
84-1.2,Int64
84-1.3,Int64
84-1.4,Int64
84-1.5,Int64
84-2.0,Int64
84-2.1,Int64
84-2.2,Int64
84-2.3,Int64
84-2.4,Int64
84-2.5,Int64
87-0.0,Int64
87-0.1,Int64
87-0.2,Int64
87-0.3,Int64
87-0.4,Int64
87-0.5,Int64
87-0.6,Int64
87-0.7,Int64
87-0.8,Int64
87-0.9,Int64
87-0.10,Int64
87-0.11,Int64
87-0.12,Int64
87-0.13,Int64
87-0.14,Int64
87-0.15,Int64
87-0.16,Int64
87-0.17,Int64
87-0.18,Int64
87-0.19,Int64
87-0.20,Int64
87-0.21,Int64
87-0.22,Int64
87-0.23,Int64
87-0.24,Int64
87-0.25,Int64
87-0.26,Int64
87-0.27,Int64
87-0.28,Int64
87-0.29,Int64
87-0.30,Int64
87-0.31,Int64
87-0.32,Int64
87-0.33,Int64
87-1.0,Int64
87-1.1,Int64
87-1.2,Int64
87-1.3,Int64
87-1.4,Int64
87-1.5,Int64
87-1.6,Int64
87-1.7,Int64
87-1.8,Int64
87-1.9,Int64
87-1.10,Int64
87-1.11,Int64
87-1.12,Int64
87-1.13,Int64
87-1.14,Int64
87-1.15,Int64
87-1.16,Int64
87-1.17,Int64
87-1.18,Int64
87-1.19,Int64
87-1.20,Int64
87-1.21,Int64
87-1.22,Int64
87-1.23,Int64
87-1.24,Int64
87-1.25,Int64
87-1.26,Int64
87-1.27,Int64
87-1.28,Int64
87-1.29,Int64
87-1.30,Int64
87-1.31,Int64
87-1.32,Int64
87-1.33,Int64
87-2.0,Int64
87-2.1,Int64
87-2.2,Int64
87-2.3,Int64
87-2.4,Int64
87-2.5,Int64
87-2.6,Int64
87-2.7,Int64
87-2.8,Int64
87-2.9,Int64
87-2.10,Int64
87-2.11,Int64
87-2.12,Int64
87-2.13,Int64
87-2.14,Int64
87-2.15,Int64
87-2.16,Int64
87-2.17,Int64
87-2.18,Int64
87-2.19,Int64
87-2.20,Int64
87-2.21,Int64
87-2.22,Int64
